"Edit Address","Edit Address"
"Add New Address","Add New Address"
"Invalid request","Invalid request"
"The data was saved successfully.","The data was saved successfully."
"Some required fields are invalid","Some required fields are invalid"
"Invalid field","Invalid field"
"The address could not be saved.","The address could not be saved."
"Something went wrong while processing your order. Please try again later.","Something went wrong while processing your order. Please try again later."
Disabled,Disabled
Enabled,Enabled
"Open the login popup","Open the login popup"
"Redirect to the login page","Redirect to the login page"
"Naxero Advanced Instant Purchase","Naxero Advanced Instant Purchase"
carrier_title,carrier_title
ending,ending
expires,expires
"Invalid value ""%1"" for parameter %2","Invalid value ""%1"" for parameter %2"
"* Required Fields","* Required Fields"
"Contact Information","Contact Information"
Address,Address
Street,Street
"Street Address %1","Street Address %1"
"VAT number","VAT number"
City,City
Region,Region
"Please select a region, state or province.","Please select a region, state or province."
"Post code","Post code"
Country,Country
"It's a default billing address.","It's a default billing address."
"Use as my default billing address","Use as my default billing address"
"It's a default shipping address.","It's a default shipping address."
"Use as my default shipping address","Use as my default shipping address"
"Save Address","Save Address"
"Go back","Go back"
"buttons' 'button_text","buttons' 'button_text"
"View logs","View logs"
"Your order heas been created successfully. Order reference:","Your order heas been created successfully. Order reference:"
"Billing address","Billing address"
"Create a billing address","Create a billing address"
"Shipping address","Shipping address"
"Create a shipping address","Create a shipping address"
"Saved cards","Saved cards"
"Save a new card","Save a new card"
"Other payment options","Other payment options"
"Shipping method","Shipping method"
Product,Product
